"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 24 00:02:02 EEST 2022","Tue May 24 00:02:08 EEST 2022","5844","Firefox","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Twitter link and check whether user is navigated to twitter page",""
"passed","Mon May 23 23:58:44 EEST 2022","Mon May 23 23:59:00 EEST 2022","15360","WebKit","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on LinkedIn link and check whether user is navigated to LinkedIn page",""
"passed","Mon May 23 23:58:47 EEST 2022","Mon May 23 23:58:49 EEST 2022","2588","WebKit","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Locked out user user",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:02:02 EEST 2022","27253","Firefox","TC_02_checkoutWorkflow.test.js","Login as a standard user to complete the checkout workflow","","","Login to App as a standard user",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:58:53 EEST 2022","15068","WebKit","TC_02_checkoutWorkflow.test.js","Login as a standard user to complete the checkout workflow","","","Login to App as a standard user",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:58:50 EEST 2022","12343","WebKit","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Login to App as a standard user",""
"passed","Mon May 23 23:58:49 EEST 2022","Mon May 23 23:59:01 EEST 2022","11901","WebKit","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Performance glitch user",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:59:07 EEST 2022","28592","WebKit","TC_03_checkoutWithSUandPGU.test.js","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a standard user",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:58:47 EEST 2022","8665","WebKit","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Click on the ""About"" side nav bar link to check whether user is navigated to sauce labs page",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:58:44 EEST 2022","6116","WebKit","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Facebook link and check whether user is navigated to Facebook page",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:01:59 EEST 2022","23946","Firefox","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Login to App as a standard user",""
"passed","Tue May 24 00:01:59 EEST 2022","Tue May 24 00:02:14 EEST 2022","15469","Firefox","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Performance glitch user",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:02:16 EEST 2022","41582","Firefox","TC_03_checkoutWithSUandPGU.test.js","Login as a Standard User to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a standard user",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:02:06 EEST 2022","31786","Firefox","TC_04_checkoutWithPUandPGU.test.js","Login as a Problem user to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a problem user",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:01:54 EEST 2022","18971","Firefox","TC_01_productPage.test.js","@smoke: Login as a standard user to verify the products page and logout from the application","","","Click on the ""About"" side nav bar link to check whether user is navigated to sauce labs page",""
"passed","Mon May 23 23:59:00 EEST 2022","Mon May 23 23:59:11 EEST 2022","10948","WebKit","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Twitter link and check whether user is navigated to twitter page",""
"passed","Tue May 24 00:01:35 EEST 2022","Tue May 24 00:01:53 EEST 2022","18167","Firefox","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on Facebook link and check whether user is navigated to Facebook page",""
"passed","Tue May 24 00:01:54 EEST 2022","Tue May 24 00:01:59 EEST 2022","4991","Firefox","TC_05_checkoutWithPGUandSU.test.js","Login as a Locked out user and Performance glitch user and complete the checkout workflow with Standard user","","","Login to App as a Locked out user user",""
"passed","Tue May 24 00:01:53 EEST 2022","Tue May 24 00:02:02 EEST 2022","9308","Firefox","TC_01_productPage.test.js","Verify All Social Channel Links","","","Click on LinkedIn link and check whether user is navigated to LinkedIn page",""
"passed","Mon May 23 23:58:38 EEST 2022","Mon May 23 23:58:59 EEST 2022","21050","WebKit","TC_04_checkoutWithPUandPGU.test.js","Login as a Problem user to select a product item and then complete the checkout workflow with Performance Glitch User","","","Login to App as a problem user",""
